iter	locus	ct0	ct1	ct2
0	0	0.00351564521	0.02771451254	0.1474311419
0	1	0.02891069252	0.06684650598	0.1452790516
0	2	0.007340538414	0.007803644902	0.03788211813
0	3	0.009116960611	0.02933430789	0.05110098124
0	4	0.0002617623923	0.003452560963	0.007352293612
0	5	0.008760362945	0.009733808448	0.02739201572
0	6	0.001073955019	0.02020779099	0.03877113104
0	7	0.0002316891243	0.00837789374	0.0318692883
0	8	0.002907232383	0.01152531942	0.01166397648
0	9	0.001687264532	0.02067959836	0.02092353069
1	0	0.00351564521	0.02131882474	0.09688578062
1	1	0.02331441993	0.03186499455	0.06557475131
1	2	0.007803644902	0.01051097279	0.03788211813
1	3	0.007724319112	0.0141216974	0.06253012881
1	4	0.0004087552937	0.004525519104	0.005755286912
1	5	0.004710259687	0.01438500303	0.02739201572
1	6	0.002358919693	0.02020779099	0.03106203112
1	7	0.001811010335	0.00837789374	0.03007710798
1	8	0.003643578176	0.007094245698	0.009576007155
1	9	0.001687264532	0.0211601517	0.06426751486
2	0	0.007245064789	0.008450643645	0.06603415187
2	1	0.005210544528	0.02355448869	0.05951264212
2	2	0.003132835776	0.007803644902	0.03788211813
2	3	0.001381823679	0.01302100391	0.03836355003
2	4	0.001349468015	0.005755286912	0.01891525792
2	5	0.01104845815	0.01438500303	0.02739201572
2	6	0.0006639639964	0.002358919693	0.0240640265
2	7	0.001811010335	0.00837789374	0.01676339651
2	8	0.001428756017	0.004965879565	0.009576007155
2	9	0.0006473601715	0.007616635738	0.02639442577
3	0	0.02137931716	0.02798687813	0.04404401316
3	1	0.01205745044	0.01490060461	0.05951264212
3	2	0.003730725528	0.007575074921	0.02782162861
3	3	0.002464891678	0.0106034099	0.03836355003
3	4	0.001332954286	0.003578647371	0.01041678728
3	5	0.01104845815	0.0231165906	0.04568283079
3	6	0.002358919693	0.00351991971	0.0240640265
3	7	0.002272389515	0.003317686226	0.03051457687
3	8	0.001428756017	0.00291388956	0.01026102578
3	9	0.00833409677	0.02639442577	0.02771426167
4	0	0.01181437318	0.03757744879	0.0453005454
4	1	0.002831776456	0.01490060461	0.02501222839
4	2	0.003355484531	0.007738975759	0.02782162861
4	3	0.008058657158	0.0106034099	0.04133329989
4	4	0.001950658103	0.003578647371	0.01041678728
4	5	0.0007531815089	0.01722884041	0.02919339686
4	6	0.002358919693	0.005141896535	0.01985603802
4	7	0.002272389515	0.003317686226	0.02946208646
4	8	0.001428756017	0.006632017112	0.01048565948
4	9	0.0005150368958	0.001560421748	0.02639442577
5	0	0.005351225693	0.005994656065	0.0453005454
5	1	0.001016985755	0.003649864853	0.02501222839
5	2	0.007006386572	0.007738975759	0.02782162861
5	3	0.002595775787	0.01839865467	0.03737997709
5	4	0.001950658103	0.00347806144	0.008772408122
5	5	0.0007531815089	0.02878375944	0.0309655443
5	6	0.003250390801	0.004700744379	0.01985603802
5	7	0.002272389515	0.01469849983	0.0449308271
5	8	0.005763612138	0.007288318642	0.01048565948
5	9	0.001560421748	0.003342323268	0.02639442577
6	0	0.0001415003921	0.01168704144	0.05062878588
6	1	0.005366403048	0.01652965539	0.03496193683
6	2	0.007738975759	0.01249314981	0.03110401586
6	3	0.002595775787	0.003027284717	0.06175593386
6	4	0.002264518061	0.01002773323	0.01622880023
6	5	0.01507640664	0.02878375944	0.0489958966
6	6	0.004700744379	0.0252358143	0.04173768896
6	7	0.002272389515	0.02409741065	0.03221935397
6	8	0.002156807439	0.005763612138	0.008179849407
6	9	0.006896143059	0.01313597023	0.02639442577
7	0	0.0001415003921	0.007570526477	0.03304316724
7	1	0.0004345926349	0.005613697674	0.02939998395
7	2	0.007738975759	0.01249314981	0.02768628528
7	3	0.002137280679	0.01337185088	0.04043774577
7	4	0.002264518061	0.01002773323	0.01226418291
7	5	0.01359506101	0.01507640664	0.0489958966
7	6	0.004700744379	0.01003272522	0.04183326484
7	7	0.00209345454	0.02316855827	0.05688672674
7	8	0.002156807439	0.01508980553	0.01843471618
7	9	0.00548327809	0.009212700819	0.02765689292
8	0	0.008789192222	0.00961900697	0.04688365735
8	1	0.003434128095	0.005613697674	0.0448219534
8	2	0.0009907247184	0.02496435772	0.0531335186
8	3	0.01270272395	0.01631999638	0.02701564087
8	4	0.0001200674606	0.01125600681	0.01214967375
8	5	0.002897113361	0.01496575212	0.05125946255
8	6	0.005284834682	0.01003272522	0.04183326484
8	7	0.009556992271	0.02316855827	0.05404611874
8	8	0.003878825004	0.007583149611	0.01843471618
8	9	0.0008169283373	0.00548327809	0.02714238985
9	0	0.0072477977	0.01984018056	0.02122845138
9	1	0.00260182745	0.003832204601	0.05882923879
9	2	0.002341552874	0.02496435772	0.04510507608
9	3	0.003046337158	0.01253386248	0.04580115178
9	4	0.0002854405879	0.01159395482	0.01172867296
9	5	0.01614532124	0.03964093114	0.05125946255
9	6	0.0001632759736	0.00645827482	0.01460861801
9	7	0.005383285869	0.02316855827	0.05510748163
9	8	0.003115413346	0.0123436285	0.01843471618
9	9	0.0008169283373	0.00548327809	0.03211436087
10	0	0.01384695819	0.01454089585	0.0512942029
10	1	0.0009415901731	0.002219713066	0.03258591834
10	2	0.002341552874	0.02620127802	0.05516871283
10	3	0.003046337158	0.009455394087	0.03710786754
10	4	0.008527270062	0.008987800152	0.01172867296
10	5	0.00638414288	0.01818945897	0.03982936425
10	6	0.001865117617	0.004823276905	0.01958936633
10	7	0.001981781058	0.006191342241	0.02229044687
10	8	0.003115413346	0.01294739998	0.01814489675
10	9	0.008387619125	0.009347605541	0.03211436087
11	0	0.008464564316	0.01037874746	0.0210442376
11	1	0.001056720331	0.001280197157	0.04420083855
11	2	0.01666573098	0.023887916	0.05516871283
11	3	0.001489733319	0.003179017207	0.05542920873
11	4	0.001647437128	0.008987800152	0.02564727079
11	5	0.001613029293	0.05793602994	0.06297349578
11	6	0.001865117617	0.01162064695	0.0130539991
11	7	0.001981781058	0.006191342241	0.0385278538
11	8	0.003115413346	0.01814489675	0.02604221061
11	9	0.003979945891	0.008387619125	0.03211436087
12	0	0.002587310068	0.02199778618	0.05317324039
12	1	0.001056720331	0.001280197157	0.01725089923
12	2	0.0004328151546	0.008449791584	0.05516871283
12	3	0.008703619231	0.0133627968	0.04892382483
12	4	0.001271847017	0.004377852586	0.008987800152
12	5	0.001664732227	0.02446379862	0.06297349578
12	6	0.01162064695	0.0237818895	0.06474943983
12	7	0.007722294411	0.008765355182	0.07595971563
12	8	0.003115413346	0.01433077883	0.01685455078
12	9	0.003979945891	0.00402072029	0.01990420908
13	0	0.002587310068	0.032707395	0.05304143149
13	1	0.008227817688	0.01017779196	0.02202688755
13	2	0.0004328151546	0.02075944478	0.03296536344
13	3	0.008703619231	0.01294012988	0.04892382483
13	4	0.007476470159	0.01420055294	0.01564790981
13	5	0.01061423213	0.02934158963	0.06456131921
13	6	0.006694130941	0.02249830028	0.04951392942
13	7	0.0009003421268	0.007241258546	0.04693221676
13	8	0.003115413346	0.01235446723	0.01685455078
13	9	0.003979945891	0.004947064775	0.0223012714
14	0	0.002587310068	0.01844559694	0.03779713495
14	1	0.002344169084	0.01155641249	0.0379435843
14	2	0.0004328151546	0.02429058147	0.06491381241
14	3	0.01092968688	0.01634296341	0.04825603423
14	4	0.006985865129	0.007476470159	0.01206388869
14	5	0.01047869382	0.02934158963	0.05871793684
14	6	0.006968088702	0.01861233798	0.04358680764
14	7	0.0009003421268	0.01138336913	0.025097163
14	8	0.002415755118	0.007507215194	0.02050735966
14	9	0.003979945891	0.01244207512	0.03121394721
15	0	0.004407213598	0.02685520122	0.03779713495
15	1	0.002344169084	0.006261859191	0.02573124291
15	2	0.0005184108962	0.02620922672	0.04486537794
15	3	0.002713604183	0.01480650792	0.0681810648
15	4	0.001706476128	0.006985865129	0.007476470159
15	5	0.01802534025	0.02400443696	0.04833981346
15	6	0.006968088702	0.02644559056	0.04369766987
15	7	0.0009003421268	0.008273325273	0.04469853764
15	8	0.000127938412	0.009189879364	0.02323029432
15	9	0.00287558005	0.003979945891	0.03121394721
16	0	0.007283585109	0.01268739438	0.03779713495
16	1	0.005446021679	0.006261859191	0.0527094549
16	2	0.0005184108962	0.03301126627	0.03344806303
16	3	0.01544135703	0.01595704336	0.0567343673
16	4	0.002569912953	0.006985865129	0.007476470159
16	5	0.01526317219	0.02042610663	0.03729292188
16	6	0.006646114834	0.009136682766	0.03584545222
16	7	0.008273325273	0.02247290996	0.0476057928
16	8	0.000127938412	0.0006125790467	0.01446757266
16	9	0.003979945891	0.008704755212	0.02816645858
17	0	0.003699990005	0.02676113103	0.02694296909
17	1	0.001785445349	0.005446021679	0.0484557514
17	2	0.0005184108962	0.01975368	0.04905353534
17	3	0.007030901042	0.01595704336	0.06069421083
17	4	0.0004255828854	0.003289139094	0.00531690265
17	5	0.01526317219	0.01575988873	0.04393109408
17	6	0.003769546891	0.009476987033	0.03041438183
17	7	0.002515226339	0.005846500666	0.03019362735
17	8	0.000127938412	0.005096152319	0.01066054647
17	9	0.002464624822	0.005812714114	0.02128166717
18	0	0.003699990005	0.02676113103	0.02846247477
18	1	0.001785445349	0.009585216259	0.01779504122
18	2	0.0005184108962	0.0263352711	0.05806130079
18	3	0.002690572912	0.01595704336	0.04685901184
18	4	0.0005703970956	0.002066699962	0.02026335597
18	5	0.01526317219	0.03215896486	0.04874879873
18	6	0.003050393299	0.009476987033	0.01866239793
18	7	0.002515226339	0.005937703251	0.03019362735
18	8	0.003668189969	0.005096152319	0.01610516338
18	9	0.0006075515167	0.001812879148	0.02795096133
19	0	0.003699990005	0.0171737379	0.03574980637
19	1	0.0007353265872	0.002560672748	0.03291118594
19	2	0.0005184108962	0.0263352711	0.03167435178
19	3	0.005927096055	0.01595704336	0.03057143448
19	4	0.0005703970956	0.002066699962	0.005898417355
19	5	0.008036658119	0.02665958152	0.02697011108
19	6	0.001707485025	0.004847691781	0.04413851787
19	7	0.002515226339	0.005937703251	0.03350870587
19	8	0.003349382781	0.005096152319	0.01610516338
19	9	0.0006075515167	0.008118191999	0.04220442083
20	0	0.000249323869	0.01392206353	0.01953544518
20	1	0.001793978098	0.002560672748	0.02353415346
20	2	0.0005184108962	0.01065406562	0.03167435178
20	3	0.004057744058	0.009995345797	0.0417362742
20	4	0.002066699962	0.008957446151	0.01038078924
20	5	0.009710068589	0.02665958152	0.0367219291
20	6	0.001986899289	0.004570454688	0.02707650425
20	7	0.002515226339	0.01047610651	0.03350870587
20	8	0.003349382781	0.009135244499	0.01152522898
20	9	0.0006075515167	0.008118191999	0.0194762963
