iter	locus	tip0	tip1	tip2	tip3
23	1	2	3	1	4
23	2	3	4	1	2
23	3	3	4	1	2
23	4	2	1	3	4
23	5	1	2	3	4
23	6	1	2	3	4
23	7	3	4	1	2
23	8	3	4	1	2
23	9	3	4	1	2
24	0	3	4	1	2
24	1	2	1	3	4
24	2	1	2	3	4
24	3	3	4	1	2
24	4	1	2	3	4
24	5	3	4	1	2
24	6	3	4	1	2
24	7	3	4	1	2
24	8	2	1	3	4
24	9	3	4	1	2
25	0	3	4	1	2
25	1	2	1	3	4
25	2	1	2	3	4
25	3	3	4	1	2
25	4	2	1	3	4
25	5	2	1	3	4
25	6	3	4	1	2
25	7	3	4	1	2
25	8	1	2	3	4
25	9	3	4	1	2
26	0	3	4	1	2
26	1	2	4	1	3
26	2	1	2	3	4
26	3	3	4	1	2
26	4	2	1	3	4
26	5	3	4	1	2
26	6	3	4	1	2
26	7	3	4	1	2
26	8	1	2	3	4
26	9	1	2	3	4
27	0	3	4	1	2
27	1	2	4	1	3
27	2	1	2	3	4
27	3	3	4	1	2
27	4	1	3	2	4
27	5	1	2	3	4
27	6	4	3	1	2
27	7	3	4	1	2
27	8	1	2	3	4
27	9	1	2	3	4
28	0	3	4	1	2
28	1	2	4	1	3
28	2	3	4	1	2
28	3	3	4	1	2
28	4	1	3	2	4
28	5	2	1	3	4
28	6	4	3	1	2
28	7	3	4	1	2
28	8	3	4	1	2
28	9	3	4	1	2
29	0	3	4	1	2
29	1	2	4	1	3
29	2	1	2	3	4
29	3	3	4	1	2
29	4	1	3	2	4
29	5	3	4	1	2
29	6	1	2	3	4
29	7	3	4	1	2
29	8	3	4	1	2
29	9	3	4	1	2
30	0	2	1	3	4
30	1	2	4	1	3
30	2	1	2	3	4
30	3	3	4	1	2
30	4	4	2	1	3
30	5	3	4	1	2
30	6	1	2	3	4
30	7	3	4	1	2
30	8	3	4	1	2
30	9	1	2	3	4
31	0	1	2	3	4
31	1	2	4	1	3
31	2	1	2	3	4
31	3	3	4	1	2
31	4	1	3	2	4
31	5	3	4	1	2
31	6	1	2	3	4
31	7	3	4	1	2
31	8	3	4	1	2
31	9	1	2	3	4
32	0	3	4	1	2
32	1	2	4	1	3
32	2	1	2	3	4
32	3	1	2	3	4
32	4	2	4	1	3
32	5	3	4	1	2
32	6	1	2	3	4
32	7	3	4	1	2
32	8	1	2	3	4
32	9	1	2	3	4
33	0	1	2	3	4
33	1	2	4	1	3
33	2	1	2	3	4
33	3	3	4	1	2
33	4	2	4	1	3
33	5	1	2	3	4
33	6	1	2	3	4
33	7	3	4	1	2
33	8	3	4	1	2
33	9	1	2	3	4
34	0	1	2	3	4
34	1	2	1	3	4
34	2	1	2	3	4
34	3	3	4	1	2
34	4	1	3	2	4
34	5	2	1	3	4
34	6	1	2	3	4
34	7	3	4	1	2
34	8	3	4	1	2
34	9	3	4	1	2
35	0	3	4	1	2
35	1	2	1	3	4
35	2	1	2	3	4
35	3	3	4	1	2
35	4	2	1	3	4
35	5	2	1	3	4
35	6	1	2	3	4
35	7	3	4	1	2
35	8	2	1	3	4
35	9	1	2	3	4
36	0	3	4	1	2
36	1	2	4	1	3
36	2	1	2	3	4
36	3	1	2	3	4
36	4	2	1	3	4
36	5	2	1	3	4
36	6	1	2	3	4
36	7	3	4	1	2
36	8	2	1	3	4
36	9	1	2	3	4
37	0	3	4	1	2
37	1	2	4	1	3
37	2	3	4	1	2
37	3	1	2	3	4
37	4	2	1	3	4
37	5	2	1	3	4
37	6	3	4	1	2
37	7	3	4	1	2
37	8	2	1	3	4
37	9	3	4	1	2
38	0	3	4	1	2
38	1	2	4	1	3
38	2	3	4	1	2
38	3	1	2	3	4
38	4	2	1	3	4
38	5	2	1	3	4
38	6	3	4	1	2
38	7	3	4	1	2
38	8	2	1	3	4
38	9	1	2	3	4
39	0	3	4	1	2
39	1	2	3	1	4
39	2	1	2	3	4
39	3	1	2	3	4
39	4	2	1	3	4
39	5	1	2	3	4
39	6	3	4	1	2
39	7	3	4	1	2
39	8	1	2	3	4
39	9	3	4	1	2
40	0	3	4	1	2
40	1	2	3	1	4
40	2	1	2	3	4
40	3	1	2	3	4
40	4	2	1	3	4
40	5	3	4	1	2
40	6	3	4	1	2
40	7	3	4	1	2
40	8	3	4	1	2
40	9	1	2	3	4
41	0	3	4	1	2
41	1	2	3	1	4
41	2	1	2	3	4
41	3	3	4	1	2
41	4	2	1	3	4
41	5	3	4	1	2
41	6	3	4	1	2
41	7	3	4	1	2
41	8	1	2	3	4
41	9	3	4	1	2
42	0	3	4	1	2
42	1	2	3	1	4
42	2	1	2	3	4
42	3	3	4	1	2
42	4	1	2	3	4
42	5	1	2	3	4
42	6	3	4	1	2
42	7	3	4	1	2
42	8	3	4	1	2
42	9	3	4	1	2
43	0	3	4	1	2
43	1	2	4	1	3
43	2	3	4	1	2
43	3	3	4	1	2
43	4	3	4	1	2
43	5	3	4	1	2
43	6	3	4	1	2
43	7	3	4	1	2
43	8	3	4	1	2
43	9	1	2	3	4
44	0	3	4	1	2
44	1	2	4	1	3
44	2	1	2	3	4
44	3	3	4	1	2
44	4	4	3	1	2
44	5	3	4	1	2
44	6	3	4	1	2
44	7	3	4	1	2
44	8	3	4	1	2
44	9	1	2	3	4
45	0	3	4	1	2
45	1	2	4	1	3
45	2	1	2	3	4
45	3	3	4	1	2
45	4	3	4	1	2
45	5	3	4	1	2
45	6	3	4	1	2
45	7	3	4	1	2
45	8	1	2	3	4
45	9	3	4	1	2
46	0	3	4	1	2
46	1	2	1	3	4
46	2	1	2	3	4
46	3	1	2	3	4
46	4	2	3	1	4
46	5	3	4	1	2
46	6	3	4	1	2
46	7	3	4	1	2
46	8	4	3	1	2
46	9	3	4	1	2
47	0	3	4	1	2
47	1	2	4	1	3
47	2	1	2	3	4
47	3	1	2	3	4
47	4	3	2	1	4
47	5	3	4	1	2
47	6	1	2	3	4
47	7	1	2	3	4
47	8	3	4	1	2
47	9	3	4	1	2
48	0	3	4	1	2
48	1	2	4	1	3
48	2	1	2	3	4
48	3	3	4	1	2
48	4	2	4	1	3
48	5	3	4	1	2
48	6	1	2	3	4
48	7	1	2	3	4
